,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
0,22022,1610612759,SAS,San Antonio Spurs,1522200064,2022-07-16,SAS vs. MEM,W,201,90,34,84,0.405,13,35,0.371,9,17,0.529,16,27,43,21,8,6,12,12,8.8
1,22022,1610612759,SAS,San Antonio Spurs,1522200046,2022-07-14,SAS vs. ATL,L,199,86,33,74,0.446,6,21,0.286,14,23,0.609,14,26,40,17,9,7,18,17,0.4
2,22022,1610612759,SAS,San Antonio Spurs,1522200027,2022-07-11,SAS vs. HOU,L,200,84,29,78,0.372,11,32,0.344,15,18,0.833,17,29,46,10,8,2,24,18,-13.0
3,22022,1610612759,SAS,San Antonio Spurs,1522200023,2022-07-10,SAS vs. GSW,L,201,85,25,74,0.338,10,29,0.345,25,37,0.676,15,33,48,14,7,5,16,24,-1.0
4,22022,1610612759,SAS,San Antonio Spurs,1522200004,2022-07-08,SAS @ CLE,L,200,90,34,75,0.453,13,28,0.464,9,13,0.692,11,25,36,18,2,3,12,21,-9.0
5,52021,1610612759,SAS,San Antonio Spurs,0052100131,2022-04-13,SAS @ NOP,L,241,103,37,91,0.407,13,34,0.382,16,22,0.727,8,26,34,19,4,3,6,20,-10.0
6,22021,1610612759,SAS,San Antonio Spurs,0022101219,2022-04-10,SAS @ DAL,L,242,120,43,89,0.483,11,31,0.355,23,23,1.0,7,28,35,26,15,3,8,17,-10.0
7,22021,1610612759,SAS,San Antonio Spurs,0022101215,2022-04-09,SAS vs. GSW,L,240,94,32,80,0.4,10,31,0.323,20,27,0.741,4,37,41,19,5,3,12,24,-6.0
8,22021,1610612759,SAS,San Antonio Spurs,0022101199,2022-04-07,SAS @ MIN,L,240,121,43,89,0.483,10,28,0.357,25,34,0.735,8,37,45,31,5,5,12,22,-6.0
9,22021,1610612759,SAS,San Antonio Spurs,0022101186,2022-04-05,SAS @ DEN,W,239,116,44,89,0.494,12,26,0.462,16,24,0.667,5,43,48,31,6,3,10,14,19.0
10,22021,1610612759,SAS,San Antonio Spurs,0022101175,2022-04-03,SAS vs. POR,W,241,113,38,84,0.452,14,42,0.333,23,30,0.767,10,41,51,25,9,1,12,18,21.0
11,22021,1610612759,SAS,San Antonio Spurs,0022101158,2022-04-01,SAS vs. POR,W,240,130,46,81,0.568,16,37,0.432,22,28,0.786,8,36,44,34,9,6,14,16,19.0
12,22021,1610612759,SAS,San Antonio Spurs,0022101144,2022-03-30,SAS vs. MEM,L,240,111,42,83,0.506,14,35,0.4,13,16,0.813,7,30,37,26,8,1,14,13,-1.0
13,22021,1610612759,SAS,San Antonio Spurs,0022101128,2022-03-28,SAS @ HOU,W,240,123,47,100,0.47,7,29,0.241,22,28,0.786,17,39,56,28,11,5,12,20,3.0
14,22021,1610612759,SAS,San Antonio Spurs,0022101107,2022-03-26,SAS @ NOP,W,239,107,39,92,0.424,7,26,0.269,22,25,0.88,16,33,49,22,4,6,10,17,4.0
15,22021,1610612759,SAS,San Antonio Spurs,0022101094,2022-03-23,SAS @ POR,W,239,133,46,94,0.489,19,44,0.432,22,24,0.917,14,39,53,34,8,11,13,13,37.0
16,22021,1610612759,SAS,San Antonio Spurs,0022101070,2022-03-20,SAS @ GSW,W,240,110,38,98,0.388,15,40,0.375,19,25,0.76,17,27,44,25,7,2,10,18,2.0
17,22021,1610612759,SAS,San Antonio Spurs,0022101054,2022-03-18,SAS vs. NOP,L,240,91,32,89,0.36,11,44,0.25,16,20,0.8,8,32,40,22,5,4,16,12,-33.0
18,22021,1610612759,SAS,San Antonio Spurs,0022101040,2022-03-16,SAS vs. OKC,W,239,122,43,98,0.439,19,41,0.463,17,20,0.85,15,33,48,31,10,2,12,18,2.0
19,22021,1610612759,SAS,San Antonio Spurs,0022101024,2022-03-14,SAS vs. MIN,L,240,139,52,97,0.536,13,35,0.371,22,26,0.846,9,27,36,33,5,11,15,24,-10.0
20,22021,1610612759,SAS,San Antonio Spurs,0022101007,2022-03-12,SAS vs. IND,L,240,108,42,102,0.412,11,34,0.324,13,16,0.813,15,37,52,28,6,3,10,15,-11.0
21,22021,1610612759,SAS,San Antonio Spurs,0022101002,2022-03-11,SAS vs. UTA,W,238,104,34,85,0.4,6,29,0.207,30,43,0.698,14,40,54,15,8,6,13,20,2.0
22,22021,1610612759,SAS,San Antonio Spurs,0022100989,2022-03-09,SAS vs. TOR,L,240,104,38,84,0.452,9,32,0.281,19,20,0.95,7,29,36,24,5,4,12,18,-15.0
23,22021,1610612759,SAS,San Antonio Spurs,0022100973,2022-03-07,SAS vs. LAL,W,239,117,46,84,0.548,9,26,0.346,16,30,0.533,12,35,47,28,6,7,16,18,7.0
24,22021,1610612759,SAS,San Antonio Spurs,0022100955,2022-03-05,SAS @ CHA,L,240,117,45,98,0.459,11,37,0.297,16,20,0.8,13,38,51,28,7,6,10,18,-6.0
25,22021,1610612759,SAS,San Antonio Spurs,0022100944,2022-03-03,SAS vs. SAC,L,240,112,46,93,0.495,12,32,0.375,8,16,0.5,6,34,40,28,8,5,11,24,-3.0
26,22021,1610612759,SAS,San Antonio Spurs,0022100923,2022-02-28,SAS @ MEM,L,240,105,41,99,0.414,9,32,0.281,14,19,0.737,12,26,38,30,13,3,9,18,-13.0
27,22021,1610612759,SAS,San Antonio Spurs,0022100908,2022-02-26,SAS @ MIA,L,240,129,50,90,0.556,14,31,0.452,15,19,0.789,12,34,46,33,5,1,20,31,-4.0
28,22021,1610612759,SAS,San Antonio Spurs,0022100899,2022-02-25,SAS @ WAS,W,288,157,57,105,0.543,9,29,0.31,34,43,0.791,16,34,50,35,6,3,17,22,4.0
29,22021,1610612759,SAS,San Antonio Spurs,0022100881,2022-02-16,SAS @ OKC,W,240,114,43,98,0.439,10,34,0.294,18,22,0.818,14,43,57,29,3,7,13,15,8.0
30,22021,1610612759,SAS,San Antonio Spurs,0022100861,2022-02-14,SAS @ CHI,L,240,109,44,92,0.478,6,20,0.3,15,21,0.714,4,29,33,28,9,2,7,15,-11.0
31,22021,1610612759,SAS,San Antonio Spurs,0022100848,2022-02-12,SAS @ NOP,W,240,124,47,93,0.505,14,37,0.378,16,19,0.842,7,27,34,26,9,5,5,19,10.0
32,22021,1610612759,SAS,San Antonio Spurs,0022100841,2022-02-11,SAS @ ATL,W,239,136,50,90,0.556,18,32,0.563,18,21,0.857,5,36,41,37,11,4,14,21,15.0
